id,atr1,atr2,atr3,atr4,opis,datum_prip,kategorija,pluzenje,dolzina1,z_enota,z_opis,z_kategori,z_dolzina,z_plocniki,zelenice_1,ime,geometry
37329720.0,11.0,,,032313,ÄŚopova ulica â€“ Cesta na Ost,2022/06/04 00:00:00.000,glavna mestna cesta,SKLOP1,467.0,,,,,,,,"LINESTRING (519586.2 122730.74, 519586.37 122740.57, 519586.45 122755.26, 519586.53 122770.28, 519586.61 122785.4, 519586.69 122798.68, 519586.78 122814.78, 519586.87 122829.8, 519586.94 122842.42, 519587.04 122859.94, 519587.13 122876.7, 519587.2 122889.4, 519587.08 122904.01, 519586.97 122917.94, 519586.79 122927.45, 519586.37 122941.45, 519585.95 122951.01, 519585.41 122960.64, 519584.74 122970.31, 519583.93 122980.05, 519582.93 122989.83, 519581.74 122999.59, 519580.41 123009.3, 519578.91 123018.93, 519577.25 123028.52, 519575.43 123038.05, 519572.39 123052.12, 519570.11 123061.48, 519567.6 123070.76, 519564.96 123079.98, 519562.19 123089.08, 519559.16 123098.2, 519557.99 123101.36, 519556.79 123104.79, 519555.55 123108.28, 519554.3 123111.77, 519553.05 123115.26, 519551.8 123118.77, 519550.55 123122.27, 519549.32 123125.75, 519548.43 123128.31, 519547.23 123131.75, 519546.04 123135.17, 519544.89 123138.54, 519543.81 123141.88, 519542.52 123145.99, 519540.98 123150.99, 519540.01 123154.29, 519539.09 123157.54, 519538.19 123160.79, 519536.75 123166.42, 519535.91 123169.6, 519535.03 123172.72, 519534.14 123175.75, 519533.35 123178.66, 519532.4 123182.28, 519530.39 123190.25)"
37330453.0,13.0,,,032653,Cesta na OstroĹľno - do mostu,2022/06/04 00:00:00.000,mestna ali krajevna cesta,SKLOP1,77.0,,,,,,,,"LINESTRING (519502.98 122731.59, 519502.81 122737.96, 519502.6 122746.15, 519502.37 122751.01, 519502.29 122757.61, 519502.51 122764.57, 519503.09 122770.95, 519504.03 122779.69, 519505.33 122788.98, 519506.5 122797.36, 519508.09 122808.69)"
37330499.0,10.0,,,532441,Pucova ulica do HĹ  2,2022/06/04 00:00:00.000,javna pot,SKLOP2,116.0,PEZ 1,Pucova ulica do HŠ 2,javna pot,116.0,,,,"LINESTRING (519453.83 122731.92, 519453.96 122739.21, 519454.12 122747.86, 519454.29 122757.06, 519454.44 122765.5, 519454.56 122772.16, 519454.7 122780.6, 519454.85 122789.79, 519455.01 122799.47, 519455.16 122808.99, 519455.34 122820.04, 519455.51 122829.34, 519455.64 122837.29, 519455.76 122842.97, 519455.86 122847.67)"
37330505.0,10.0,,,532411,Pregljeva ulica do HĹ  13,2022/06/04 00:00:00.000,javna pot,SKLOP2,131.0,PEZ 1,Pregljeva ulica do HŠ 13,javna pot,131.0,,,,"LINESTRING (519377.64 122732.23, 519377.49 122735.76, 519377.36 122742.4, 519377.38 122749.2, 519377.42 122761.06, 519377.47 122774.71, 519377.51 122788.32, 519377.56 122801.75, 519377.59 122813.4, 519377.65 122826.13, 519377.68 122837.51, 519377.72 122848.66, 519377.75 122856.43, 519377.77 122862.89)"
37330510.0,10.0,,,532131,Ulica Milke Kerinove do HĹ  14,2022/06/04 00:00:00.000,javna pot,SKLOP2,133.0,PEZ 1,Ulica Milke Kerinove do HŠ 14,javna pot,133.0,,,,"LINESTRING (519307.18 122732.55, 519307.19 122739.76, 519307.2 122747.98, 519307.21 122754.23, 519307.22 122761.24, 519307.22 122769.36, 519307.22 122775.72, 519307.23 122782.85, 519307.23 122789.38, 519307.24 122798.19, 519307.24 122807.28, 519307.25 122816.53, 519307.26 122823.66, 519307.34 122829.86, 519307.37 122835.46, 519307.41 122841.5, 519307.4 122850.7, 519307.39 122856.74, 519307.39 122861.03, 519307.39 122865.23)"
37330545.0,10.0,,,535421,Ulica Maksima Gorkega do HĹ  9,2022/06/04 00:00:00.000,javna pot,SKLOP2,115.0,PEZ 1,Ulica Maksima Gorkega do HŠ 9,javna pot,140.0,,,,"LINESTRING (519238.51 122757.72, 519238.51 122763.69, 519238.58 122769.81, 519238.59 122776.39, 519238.6 122783.74, 519238.61 122791.79, 519238.65 122795.82, 519238.74 122801.73, 519238.63 122806.86, 519238.49 122813.45, 519238.36 122819.59, 519238.24 122825.96, 519238.11 122832.25, 519237.93 122839.56, 519237.76 122846.85, 519237.64 122851.87, 519237.46 122857.3, 519237.27 122863.12, 519236.97 122872.33)"
37330504.0,10.0,,,532141,Pucova ulica do HĹ  21,2022/06/04 00:00:00.000,javna pot,SKLOP2,99.0,PEZ 1,Pucova ulica do HŠ 21,javna pot,145.0,32.0,,,"LINESTRING (519194.43 122770.92, 519191.73 122773.07, 519189.15 122775.39, 519185.45 122779.36, 519182.46 122783.39, 519179.95 122787.41, 519177.92 122791.77, 519176.31 122796.28, 519175 122801.23, 519174.03 122806.35, 519173.03 122813.94, 519171.94 122823.11, 519170.54 122834.49, 519169.16 122845.14, 519167.97 122854.28, 519166.8 122862.86)"
37330454.0,10.0,,,532442,Cesta na OstroĹľno do HĹ  4a,2022/06/04 00:00:00.000,javna pot,SKLOP2,53.0,PEZ 1,Cesta na Ostrožno do HŠ 4a,javna pot,53.0,,,,"LINESTRING (519508.09 122808.69, 519514.18 122808.41, 519520.19 122808.22, 519527.27 122808.08, 519534.15 122808.05, 519539.93 122808.03, 519545.48 122807.97, 519551.49 122807.88, 519558.2 122807.77, 519561.37 122807.72)"
37329867.0,13.0,,,032653,Cesta na OstroĹľno - do mostu,2022/06/04 00:00:00.000,mestna ali krajevna cesta,SKLOP1,222.0,,,,,,,,"LINESTRING (519508.09 122808.69, 519509.42 122817.2, 519511.33 122829.38, 519513.28 122841.95, 519515.75 122857.76, 519518.53 122875.59, 519520.71 122889.57, 519522.35 122900.12, 519524.18 122911.82, 519526.13 122924.37, 519527.87 122935.52, 519529.21 122944.07, 519530.73 122953.85, 519531.86 122962.7, 519532.33 122968.49, 519532.44 122974.91, 519532.23 122980.39, 519531.84 122984.76, 519531.08 122989.71, 519529.72 122995.75, 519528.18 123001.36, 519526.78 123005.43, 519524.88 123009.84, 519521.1 123018, 519517.21 123025.75)"
37330646.0,10.0,,,532201,SorÄŤanova ulica do HĹ  8,2022/06/04 00:00:00.000,javna pot,SKLOP2,95.0,PEZ 1,Sorčanova ulica do HŠ 8,javna pot,95.0,,,,"LINESTRING (519089.82 122963.57, 519092.61 122958.15, 519093.93 122955.59, 519097.08 122949.41, 519100.51 122942.7, 519103.75 122936.35, 519106.99 122930.01, 519110.41 122923.3, 519113.95 122916.37, 519117.97 122908.48, 519121.49 122901.6, 519124.6 122895.51, 519127.11 122890.59, 519129.65 122885.61, 519133.03 122878.75)"
